"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","青山","八木山動物公園",,14000000,225,,,140,"1991年","軽量鉄骨造",,,"南西","公道",5,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","秋保町湯元",,,24000000,340,,,135,"2017年","木造",,,"北西","公道",4,"１種住居",60,160,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","金剛沢","八木山動物公園",25,17000000,165,,,90,"1986年","木造",,,"東","私道",6.2,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","太白","長町南",,21000000,130,,,95,"2023年","木造",,,"北東","公道",6.5,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","太白","八木山動物公園",,23000000,165,,,100,"2024年","木造",,,"北","公道",6.6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","太白","八木山動物公園",,22000000,160,,,95,"2024年","木造",,,"北","公道",6.6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","羽黒台","長町南",,7400000,270,,,130,,,,,"南西","公道",4.8,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","恵和町","八木山動物公園",20,11000000,105,,,85,"1994年","木造",,,"北東","公道",4,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西多賀","長町南",,37000000,140,,,100,"2024年","木造",,,"西","公道",6,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西多賀","長町南",,37000000,140,,,100,"2024年","木造",,,"西","公道",6,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西多賀","長町南",20,22000000,260,,,135,"1997年","木造",,,"西","私道",4,"２中住専",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西多賀","長町南",,36000000,140,,,100,"2024年","木造",,,"西","公道",6,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西多賀","長町南",20,29000000,245,,,100,"2014年","木造",,,"南東","私道",4,"２中住専",60,160,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西中田","南仙台",15,46000000,130,,,105,"2024年","木造",,,"東","公道",6.4,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","西中田","南仙台",15,34000000,205,,,155,"1999年","木造",,,"北","公道",6,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台",,25000000,155,,,100,"2024年","木造",,,"北","公道",4,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台",,15000000,185,,,125,"1998年","木造",,,"東","私道",6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台",,34000000,175,,,110,"2024年","木造",,,"南西","公道",6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台",,7700000,175,,,85,"1978年","木造",,,"南","私道",4,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台","30分～60分",11000000,205,,,80,"1976年","木造",,,"南西","公道",6.1,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","袋原","南仙台",,23000000,175,,,110,"2009年","木造",,,"北西","私道",4,"２中住専",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","二ツ沢","長町南",25,1000000,235,,,50,"1963年","木造",,,"北","私道",4,"２種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","東中田","南仙台",20,45000000,145,,,105,"2024年","木造",,,"東",,10,"１種住居",,,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","東中田","南仙台",20,45000000,130,,,95,"2024年","木造",,,"東",,10,"１種住居",,,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","郡山","長町",20,45000000,115,,,100,"2024年","木造",,,"北東","公道",8,"近隣商業",80,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","郡山","太子堂",20,35000000,140,,,105,"2024年","木造",,,"北西","公道",5,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","郡山","太子堂",10,40000000,95,,,105,"2024年","木造",,,"南","公道",6,"２種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","郡山","太子堂",,25000000,215,,,135,"2000年","木造",,,"東","公道",7.5,"１種住居",60,200,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","四郎丸","南仙台",,24000000,195,,,110,"1993年","木造",,,"東","公道",10.6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","四郎丸","南仙台",,15000000,185,,,115,"1995年","木造",,,"北西","公道",6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","八木山南","八木山動物公園",20,32000000,135,,,105,"2024年","木造",,,"南西","公道",6,"１低住専",50,80,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","山田上ノ台町","長町南",,39000000,185,,,135,"2025年","木造",,,"北西","私道",4,"１種住居",60,160,"2024年第4四半期",
"宅地(土地と建物)","成約価格情報",,"04104","宮城県","仙台市太白区","山田上ノ台町","長町南",,39000000,185,,,135,"2025年","木造",,,"北西","私道",4,"１種住居",60,160,"2024年第4四半期",
