"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","富沢",12,38000000,120,"ほぼ長方形",15,105,"2018年","木造","住宅","住宅","東","私道",6.1,"２種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","富沢",7,32000000,270,"正方形",16.5,135,"2005年","木造","住宅","住宅","南","市道",6,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","富沢",15,21000000,240,"不整形","","","","","","","南西","私道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","大野田","富沢",14,230000000,"2,000㎡以上","不整形","","2,000㎡以上","1985年","ＲＣ","","その他","西","県道",36,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",24000000,130,"ほぼ長方形",8.5,100,"2018年","木造","住宅","住宅","南東","私道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",23000000,145,"ほぼ長方形",9.9,110,"1979年","木造","住宅","住宅","北東","市道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",40000000,270,"ほぼ長方形","",105,"2018年","木造","住宅","住宅","北東","私道",5,"１低住専",50,80,"2018年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",33000000,175,"長方形",9,105,"2018年","木造","住宅","住宅","北西","私道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大谷地","長町南","30分～60分",32000000,200,"不整形","",115,"2019年","木造","住宅","住宅","北東","私道",5,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","富沢","30分～60分",10000000,210,"ほぼ台形",12.6,125,"1974年","木造","住宅","住宅","北東","市道",5.8,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","富沢","30分～60分",33000000,240,"長方形",14,115,"","","","住宅","南","市道",6,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",31000000,240,"長方形",13.5,130,"2017年","木造","住宅、駐車場","","北東","市道",8,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",240000000,"2,000㎡以上","ほぼ台形",46,430,"1999年","鉄骨造","工場、事務所、店舗","事務所","北西","市道",7.5,"１種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",14000000,210,"不整形",19,120,"1996年","木造","共同住宅","住宅","西","市道",8,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",5300000,230,"長方形",17,105,"1975年","木造","住宅","住宅","北東","市道",4,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取本町","長町南","30分～60分",25000000,140,"袋地等",2.7,95,"2018年","木造","住宅","住宅","南西","私道",6,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取本町","長町南","30分～60分",33000000,210,"ほぼ長方形",9.9,115,"2018年","木造","住宅","住宅","北西","私道",6,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鹿野","長町南",16,11000000,100,"ほぼ長方形","","","1983年","","","住宅","北東","私道",4,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鹿野","長町南",10,41000000,120,"長方形",10,140,"2003年","木造","住宅","住宅","北","市道",9,"２種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鹿野","長町南",5,190000000,330,"長方形",16.6,390,"2019年","","共同住宅","","南","市道",6,"２種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","鹿野","長町南",8,190000000,840,"不整形",15.5,1200,"1988年","ＲＣ","共同住宅、事務所","住宅","南","市道",18,"近隣商業",80,300,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","八木山動物公園","30分～60分",27000000,220,"ほぼ台形",18.7,105,"2018年","木造","住宅","住宅","西","市道",4.2,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","八木山動物公園","30分～60分",25000000,210,"長方形",11.5,105,"2018年","木造","住宅","住宅","北","私道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","八木山動物公園","30分～60分",26000000,200,"長方形",10.5,105,"2018年","木造","住宅","","北","私道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","八木山動物公園","30分～60分",11000000,540,"ほぼ長方形","",105,"1994年","木造","住宅","住宅","東","市道",5,"１低住専",50,80,"2018年第3四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","上野山","八木山動物公園","30分～60分",7500000,290,"ほぼ台形",20,80,"1981年","木造","住宅","住宅","南西","市道",6,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","長町南","30分～60分",26000000,180,"長方形",11.6,105,"2018年","木造","住宅","住宅","南西","市道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","長町南","30分～60分",23000000,125,"長方形",7.5,95,"2018年","木造","住宅","住宅","北東","市道",4,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","長町南","30分～60分",35000000,230,"長方形",15,"","","","","住宅","北西","市道",6.1,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","恵和町","八木山動物公園",20,2000000,150,"長方形",10,45,"1965年","木造","住宅","住宅","南西","市道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","越路","愛宕橋",4,56000000,195,"ほぼ長方形",20,290,"1994年","鉄骨造","共同住宅、店舗","住宅","南東","市道",9,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",11,37000000,160,"不整形",9,115,"2018年","木造","住宅","住宅","西","私道",6.8,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",25,29000000,190,"ほぼ台形",11,105,"2018年","木造","住宅","住宅","北西","市道",6,"１種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",12,11000000,195,"ほぼ長方形",9.8,105,"2005年","木造","住宅","","北","市道",4,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",14,37000000,165,"ほぼ長方形",12,115,"2018年","木造","住宅","住宅","東","市道",6,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",11,44000000,170,"長方形",15.5,115,"2010年","軽量鉄骨造","住宅","住宅","東","市道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",16,38000000,170,"ほぼ長方形",10.8,115,"2018年","木造","住宅","住宅","東","市道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",20,36000000,940,"ほぼ正方形",32,390,"1980年","","","その他","西","市道",5.8,"１種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",8,35000000,100,"ほぼ正方形",10,105,"2018年","木造","住宅","住宅","北","道路",6,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",9,40000000,100,"ほぼ整形","",105,"2018年","木造","住宅","","北","私道",4,"２種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",13,58000000,155,"ほぼ台形",16,"","","","","","西","市道",4.5,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",13,33000000,80,"ほぼ台形","",85,"2017年","","住宅","住宅","北","市道",40,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",12,45000000,150,"ほぼ長方形",11.8,"","2018年","","","住宅","北","市道",4,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",11,45000000,140,"不整形",2.5,105,"2017年","木造","住宅","住宅","北","市道",4,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","金剛沢","長町南","30分～60分",15000000,185,"ほぼ長方形","",145,"1997年","軽量鉄骨造","住宅","事務所","西","市道",6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","金剛沢","長町南","30分～60分",30000000,180,"ほぼ長方形",11,105,"2018年","木造","住宅","住宅","北西","市道",6,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","金剛沢","長町南","30分～60分",6700000,170,"ほぼ長方形","",95,"1979年","木造","住宅","住宅","北東","私道",4,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","桜木町","八木山動物公園",15,38000000,220,"長方形",14,110,"2019年","","住宅","住宅","南","市道",9,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","桜木町","八木山動物公園",15,9800000,180,"長方形",10.9,135,"1988年","木造","共同住宅","住宅","北","市道",5.5,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","桜木町","八木山動物公園",13,8800000,220,"ほぼ長方形",20,50,"1967年","木造","住宅","住宅","東","市道",6.5,"１低住専",50,80,"2018年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",23000000,170,"不整形",10.5,105,"2018年","木造","住宅","住宅","北東","市道",5,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",25000000,175,"長方形",10.1,105,"2018年","木造","住宅","住宅","南西","道路",6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",20000000,210,"ほぼ長方形",12.5,100,"1986年","木造","住宅","","西","市道",4.9,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",21000000,165,"長方形",11.3,105,"2018年","木造","住宅","住宅","北東","市道",6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",49000000,580,"ほぼ台形","",170,"","","住宅","住宅","東","市道",10,"１低住専",50,80,"2018年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",28000000,195,"ほぼ台形",10.1,120,"2019年","木造","住宅","住宅","南","市道",6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",23000000,120,"ほぼ台形",6,95,"2018年","木造","住宅","住宅","西","市道",5,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",27000000,200,"不整形",7.5,105,"2018年","木造","住宅","住宅","北東","私道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",19000000,180,"ほぼ長方形",14,110,"1995年","木造","住宅","住宅","北西","市道",5,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",25000000,135,"ほぼ長方形",8.5,100,"2018年","木造","住宅","住宅","南","私道",4,"２中住専",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",25000000,140,"ほぼ長方形",9.4,100,"2018年","木造","住宅","住宅","南","私道",4,"２中住専",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",22000000,130,"不整形","",100,"2018年","木造","住宅","住宅","東","私道",4,"２中住専",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",30000000,165,"長方形",11,105,"2018年","木造","住宅","住宅","北東","道路",6,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","諏訪町","太子堂",8,230000000,390,"ほぼ台形",31.5,510,"2018年","鉄骨造","共同住宅","その他","北","市道",6,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","諏訪町","太子堂",9,88000000,200,"不整形",3,"","","","","その他","東","県道",9.3,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","諏訪町","太子堂",11,31000000,130,"ほぼ正方形",11.6,100,"2018年","木造","住宅","住宅","北東","私道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太子堂","太子堂",10,36000000,165,"ほぼ台形",14,105,"2007年","木造","住宅","住宅","北","市道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","八木山動物公園","30分～60分",24000000,330,"ほぼ長方形",17,150,"1991年","木造","住宅","事務所","北西","市道",6.5,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","八木山動物公園","30分～60分",31000000,155,"長方形",8,100,"2019年","","住宅","住宅","南東","市道",6.5,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","八木山動物公園","30分～60分",12000000,330,"ほぼ長方形",20,150,"1991年","木造","住宅","","北東","市道",9.1,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","八木山動物公園","30分～60分",36000000,195,"ほぼ台形",10,100,"2018年","","","住宅","北東","市道",9,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","八木山動物公園","30分～60分",21000000,140,"袋地等",2.9,95,"2018年","木造","住宅","住宅","北西","市道",6,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",26,23000000,210,"長方形",12,165,"1994年","木造","住宅","住宅","北西","市道",4.5,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",18,23000000,240,"台形",20.5,115,"2000年","木造","住宅","住宅","南","市道",6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",26,16000000,100,"ほぼ長方形",6.8,80,"1995年","木造","住宅","住宅","南東","私道",4,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",26,11000000,280,"不整形",42,175,"1988年","木造","共同住宅","住宅","東","市道",6,"１低住専",50,80,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",18,65000000,330,"ほぼ長方形","",310,"1990年","","","","南","市道",6,"２中住専",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",18,70000000,160,"ほぼ整形","","","","","","住宅","北","区画街路",6,"２中住専",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",15,39000000,150,"ほぼ長方形",10,105,"2018年","木造","住宅","住宅","南","市道",6,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",14,60000000,400,"長方形",30,150,"1974年","木造","住宅","住宅","北","市道",4,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",15,120000000,570,"不整形",12,920,"1977年","ＲＣ","共同住宅","","北","市道","","２種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",18,58000000,200,"長方形",16,35,"2019年","","住宅","住宅","北","区画街路",6,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",23,38000000,190,"長方形",12,110,"2018年","木造","住宅","","北","道路",6,"２中住専",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",17,42000000,130,"長方形",8.5,125,"2017年","木造","住宅","住宅","南","市道",6,"２中住専",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢","富沢",14,96000000,250,"ほぼ長方形",13,250,"2018年","木造","共同住宅","その他","東","市道",12,"２中住専",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",20,53000000,230,"長方形",11,120,"","","","","東","区画街路",6,"１種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",26,35000000,280,"長方形","",150,"2004年","木造","住宅","住宅","南","私道",6,"１種住居",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",19,45000000,165,"長方形",9.9,105,"2018年","","","","東","区画街路",6,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",16,43000000,165,"不整形","",110,"2018年","木造","住宅","","南","区画街路",6,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",24,45000000,230,"ほぼ長方形",31,135,"2018年","","","","北","区画街路",8,"２中住専",60,200,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",23,60000000,270,"長方形",12,105,"2018年","","住宅","","北","区画街路",13,"２中住専",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富田","富沢",16,49000000,180,"長方形",17,120,"2018年","木造","住宅","","南","区画街路",6,"２中住専",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",16,33000000,125,"ほぼ長方形","",100,"2018年","木造","","住宅","南西","市道",6,"１種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",7,38000000,130,"長方形",10.5,100,"2019年","木造","住宅","住宅","東","市道",5,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",4,48000000,420,"ほぼ台形",22,180,"1982年","","住宅","住宅","南","市道",4,"１種住居",60,200,"2018年第4四半期",""
