"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",9800000,200,"ほぼ整形","",140,"1981年","木造","共同住宅","住宅","南東","私道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",9800000,310,"ほぼ長方形",14.5,105,"1983年","軽量鉄骨造","住宅","住宅","南東","市道",4.8,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",23000000,135,"長方形",6.5,85,"2017年","木造","住宅","住宅","南西","市道",4.5,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",7000000,280,"ほぼ長方形",15,80,"1965年","木造","住宅","住宅","西","道路",4.6,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",22000000,125,"ほぼ整形",12.8,80,"2017年","木造","住宅","","南西","市道",4.5,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",6000000,180,"ほぼ長方形",13,140,"1980年","木造","共同住宅","住宅","北西","市道",7.5,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",21000000,350,"ほぼ正方形","",105,"2018年","木造","住宅","住宅","北西","私道",4.5,"１低住専",50,80,"2018年第1四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","八木山動物公園",28,20000000,330,"長方形",18.5,180,"1994年","木造","共同住宅","住宅","南東","道路",6,"１低住専",50,80,"2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","八木山動物公園",18,28000000,310,"台形",17.5,105,"2018年","木造","住宅","","南西","市道",4,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","八木山動物公園",15,36000000,190,"ほぼ長方形",8.7,125,"2018年","木造","住宅","住宅","北西","市道",4,"１低住専",50,80,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","秋保町長袋","陸前白沢","1H30～2H",3500000,740,"不整形","",85,"1982年","木造","住宅","その他","東","市道",6.2,"都計外","","","2018年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","泉崎","長町南",12,64000000,330,"ほぼ長方形",14,210,"1980年","木造","住宅、店舗","","北","市道",6,"２種住居",60,200,"2018年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大塒町","長町南","30分～60分",25000000,165,"長方形",9.5,105,"2018年","木造","住宅","住宅","南東","市道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大塒町","長町南","30分～60分",25000000,170,"長方形",10.2,105,"2018年","木造","住宅","住宅","南東","市道",4,"１低住専",50,80,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","太子堂",5,120000000,720,"台形",39,"","","","","","南東","市道",6,"２種住居",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","太子堂",5,39000000,210,"ほぼ台形",12,"","","","","","南","市道",8,"工業",60,200,"2018年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","太子堂",8,98000000,165,"台形",13.4,280,"2018年","","","住宅","南","市道",4,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","太子堂",11,44000000,190,"不整形","","","","","","","南西","私道",4,"２種住居",60,200,"2018年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大野田","富沢",13,250000000,1200,"ほぼ長方形",30.5,1300,"1984年","ＲＣ","共同住宅、その他","その他","西","県道",36,"２種住居",60,200,"2018年第4四半期",""
